Tax Ranking For Customer,Sales Order ID,Company Name,Full Name,Taxes Amount,Freight Amount,Total Order Quentity
1,71784,Action Bicycle Specialists,Terry Eminhizer,8684.9465,2714.0458,267
2,71936,Metropolitan Bicycle Supply,Krishna Sunkammurali,7862.2953,2456.9673,197
3,71938,Bulk Discount Store,Christopher Beck,7105.0290,2220.3216,167
4,71783,Eastside Department Store,Kevin Liu,6708.6741,2096.4607,286
5,71797,Riding Cycles,Jon Grande,6242.3752,1950.7422,271
6,71902,Many Bikes Store,Jeffrey Kurtz,5924.7046,1851.4702,173
7,71898,Instruments and Parts Company,Rebecca Laszlo,5118.4791,1599.5247,81
8,71796,Extreme Riding Supplies,Anthony Chor,4610.7707,1440.8659,60
9,71845,Trailblazing Sports,Frank Campbell,3329.7641,1040.5513,77
10,71782,Professional Sales and Service,Catherine Abel,3182.8264,994.6333,140
11,71780,Nearby Cycle Shop,Raja Venugopal,3073.4952,960.4672,76
12,71832,Closest Bicycle Store,Pamala Kotc,2862.0169,894.3803,76
13,71858,Thrilling Bike Tours,Pei Chow,1105.8967,345.5927,27
14,71897,Paints and Solvents Company,Joyce Jarvis,1014.8712,317.1472,19
15,71935,Remarkable Bike Store,Cory Booth,530.7437,165.8574,23
16,71816,Engineered Bike Systems,Joseph Mitzner,271.8533,84.9541,13
17,71863,Sports Products Store,Walter Mays,265.9421,83.1069,22
18,71920,Discount Tours,Melissa Marple,238.4634,74.5198,16
19,71846,Sports Store,Roger Van Houten,196.3012,61.3441,6
20,71899,Coalition Bike Company,Donald Blanton,193.2538,60.3918,11
21,71915,Aerobic Exercise Company,Rosmarie Carroll,170.9785,53.4308,13
22,71831,Tachometers and Accessories,Matthew Miller,161.3073,50.4085,9
23,71815,Thrifty Parts and Sales,Michael John Troyer,91.3263,28.5395,5
24,71867,Vigorous Sports Store,Brigid Cavendish,84.7448,26.4828,1
25,71774,Good Toys,David Hodgson,70.4279,22.0087,2
26,71856,Transport Bikes,Vassar Stern,48.1756,15.0549,2
27,71885,Channel Outlet,Richard Byham,44.0309,13.7597,12
28,71895,Futuristic Bikes,Walter Brian,19.7391,6.1685,7
29,71923,The Bicycle Accessories Company,Guy Gilbert,8.5233,2.6635,19
30,71776,West Side Mart,Andrea Thomsen,6.3048,1.9703,1
31,71917,Essential Bike Works,Linda Mitchell,3.2724,1.0226,7
32,71946,Central Bicycle Specialists,Janeth Esteves,3.1163,0.9738,1
