Customer Ranking,Customer ID,Company Name,Full Name,Gender,Total Orders,Total Quentity Orderd,($) Total revenue from customer
1,29957,Eastside Department Store,Kevin Liu,M,43,286,65683.368000
2,29796,Riding Cycles,Jon Grande,M,46,271,65123.463000
3,29736,Action Bicycle Specialists,Terry Eminhizer,M,43,267,89869.276000
4,30050,Metropolitan Bicycle Supply,Krishna Sunkammurali,M,46,197,79589.616000
5,29929,Many Bikes Store,Jeffrey Kurtz,M,50,173,59894.209000
6,29546,Bulk Discount Store,Christopher Beck,M,42,167,74160.228000
7,29485,Professional Sales and Service,Catherine Abel,F,43,140,33319.986000
8,29932,Instruments and Parts Company,Rebecca Laszlo,F,28,81,53248.692000
9,29938,Trailblazing Sports,Frank Campbell,M,31,77,34118.536000
10,30113,Nearby Cycle Shop,Raja Venugopal,M,29,76,29923.008000
10,29922,Closest Bicycle Store,Pamala Kotc,F,30,76,28950.678000
12,29660,Extreme Riding Supplies,Anthony Chor,M,20,60,47848.026000
13,29653,Thrilling Bike Tours,Pei Chow,M,17,27,11528.844000
14,29531,Remarkable Bike Store,Cory Booth,M,6,23,5533.869000
15,29975,Sports Products Store,Walter Mays,M,7,22,2777.143000
16,29781,The Bicycle Accessories Company,Guy Gilbert,M,3,19,96.109000
16,29877,Paints and Solvents Company,Joyce Jarvis,F,8,19,10585.050000
18,29982,Discount Tours,Melissa Marple,F,6,16,2527.128000
19,29638,Aerobic Exercise Company,Rosmarie Carroll,F,5,13,1732.890000
19,30027,Engineered Bike Systems,Joseph Mitzner,M,7,13,2847.408000
21,29612,Channel Outlet,Richard Byham,M,3,12,524.664000
22,29568,Coalition Bike Company,Donald Blanton,M,8,11,1856.207000
23,30019,Tachometers and Accessories,Matthew Miller,M,3,9,1712.946000
24,30025,Essential Bike Works,Linda Mitchell,F,1,7,37.758000
24,29584,Futuristic Bikes,Walter Brian,M,3,7,221.256000
26,30102,Sports Store,Roger Van Houten,M,4,6,1884.395000
27,30089,Thrifty Parts and Sales,Michael John Troyer,M,3,5,926.916000
28,30033,Transport Bikes,Vassar Stern,M,2,2,500.304000
28,29847,Good Toys,David Hodgson,M,2,2,713.796000
30,29741,Central Bicycle Specialists,Janeth Esteves,,1,1,31.584000
30,29644,Vigorous Sports Store,Brigid Cavendish,F,1,1,858.900000
30,30072,West Side Mart,Andrea Thomsen,F,1,1,63.900000
